kingdom,phylum,ERR2683114,ERR2683115,ERR2683116,ERR2683117,ERR2683118,ERR2683119,ERR2683120,ERR2683121,ERR2683122,ERR2683123,ERR2683124,ERR2683125,ERR2683126,ERR2683127,ERR2683128,ERR2683129,ERR2683130,ERR2683131,ERR2683132,ERR2683133,ERR2683134,ERR2683135,ERR2683136,ERR2683137,ERR2683138,ERR2683139,ERR2683140,ERR2683141,ERR2683142,ERR2683143,ERR2683144,ERR2683145,ERR2683146,ERR2683147,ERR2683148,ERR2683149,ERR2683150,ERR2683151,ERR2683152,ERR2683153,ERR2683154,ERR2683155,ERR2683156,ERR2683157,ERR2683158,ERR2683159,ERR2683160,ERR2683161,ERR2683162,ERR2683163,ERR2683164,ERR2683165,ERR2683166,ERR2683167,ERR2683168,ERR2683169,ERR2683170,ERR2683171,ERR2683172,ERR2683173,ERR2683174,ERR2683175,ERR2683176,ERR2683177,ERR2683178,ERR2683179,ERR2683180,ERR2683181,ERR2683182,ERR2683183,ERR2683184,ERR2683185,ERR2683186,ERR2683187,ERR2683188,ERR2683189,ERR2683190,ERR2683191,ERR2683192,ERR2683193,ERR2683194,ERR2683195,ERR2683196,ERR2683197,ERR2683198,ERR2683199,ERR2683200,ERR2683201,ERR2683202,ERR2683203,ERR2683204,ERR2683205,ERR2683206,ERR2683207,ERR2683208,ERR2683209,ERR2683210,ERR2683211,ERR2683212,ERR2683213,ERR2683214,ERR2683215,ERR2683216,ERR2683217,ERR2683218,ERR2683219,ERR2683220,ERR2683221,ERR2683222,ERR2683223,ERR2683224,ERR2683225,ERR2683226,ERR2683227,ERR2683228,ERR2683229,ERR2683230,ERR2683231,ERR2683232,ERR2683233,ERR2683234,ERR2683235,ERR2683236,ERR2683237,ERR2683238,ERR2683239,ERR2683240,ERR2683241,ERR2683242,ERR2683243,ERR2683244,ERR2683245,ERR2683246,ERR2683247,ERR2683248,ERR2683249,ERR2683250,ERR2683251,ERR2683252,ERR2683253,ERR2683254,ERR2683255,ERR2683256,ERR2683257,ERR2683258,ERR2683259,ERR2683260,ERR2683261,ERR2683262,ERR2683263,ERR2683264,ERR2683265,ERR2683266,ERR2683267,ERR2683268,ERR2683269,ERR2683270,ERR2683271,ERR2683272,ERR2683273,ERR2683274,ERR2683275,ERR2683276,ERR2683277,ERR2683278,ERR2683279,ERR2683280,ERR2683525,ERR2683526,ERR2683527,ERR2683528,ERR2683529,ERR2683530,ERR2683531,ERR2683532,ERR2683533,ERR2683534,ERR2683535,ERR2683536,ERR2683537,ERR2683538
Archaea,Crenarchaeota,0,0,0,0,0,0,1,47,4,5,6,0,0,0,0,1,2,0,2,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,11,0,3,0,0,0,0,4,0,0,1,0,1,0,0,3,0,28,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,2,12,0,0,1,0,1,0,0,2,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,32,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,5,1,1,2,0,0,2,0,0,0,3,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,7,0,0,0,1,2,1,0,3,1,8,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Archaea,Euryarchaeota,544,45,257,128,1481,42,241,1589,237,161,324,43,10,24,346,304,17,418,81,626,288,128,157,431,411,622,130,63,510,259,387,139,96,208,935,447,726,104,391,77,395,592,706,511,274,104,828,379,81,670,424,578,136,165,329,20,34,2922,214,790,1560,369,156,137,120,107,15,179,1114,1151,429,246,504,98,467,209,221,270,149,139,38,164,143,267,1003,216,50,19,24,157,24,27,18,16,17,90,147,3868,1120,155,188,36,372,238,143,837,597,593,265,174,78,116,239,1231,363,467,230,328,115,186,306,198,59,941,1126,608,95,80,287,183,169,182,552,212,145,171,87,433,182,77,108,599,548,270,119,190,139,265,1045,211,119,69,878,81,154,100,1092,22,1326,210,106,157,25,223,90,19,32,1,1,1,7,4,3,6,2,29,17,14,11,0,0
Archaea,Nanoarchaeota,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thaumarchaeota,3,0,0,0,4,0,1,1,0,0,1,0,0,1,2,0,1,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,4,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,3,2,0,7,4,0,0,0,1,1,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,48,74,82,139,128,47,124,561,138,173,331,40,79,115,124,79,719,72,1014,72,180,46,210,60,49,35,451,73,57,32,46,183,191,120,467,63,39,111,88,59,76,61,51,90,62,17,65,579,105,1401,2048,492,211,163,400,598,175,4211,49,26,95,190,96,18,126,37,299,130,834,1113,431,161,210,84,375,89,95,109,602,157,28,427,161,49,79,847,75,16,16,78,14,12,15,8,17,55,59,240,6272,48,91,16,59,48,47,89,76,148,59,106,96,82,17,458,39,60,68,56,98,87,76,45,101,146,185,297,43,53,156,121,63,626,306,81,587,63,47,63,75,250,92,185,78,209,94,63,105,62,44,41,403,144,152,102,342,81,248,82,76,86,63,109,64,962,60,14,87,3,3,3,0,1,7,1,1,16,18,13,9,0,0
Bacteria,Actinobacteria,6851,1842,1110,1243,3175,2345,1357,952,1898,1332,874,8086,6565,9662,3657,6477,2081,9900,3442,9775,4782,1867,1753,2987,3461,4114,1570,1075,1865,5243,1757,2248,1329,3732,1233,3874,4287,4473,5393,2744,2811,6153,3470,2030,1976,699,2814,902,1107,1913,1819,776,1552,1351,1970,5493,789,2597,6678,4970,4097,1657,4424,1247,1182,1798,711,1349,5883,1984,5154,2486,5069,1345,1484,1866,3917,7466,1710,1662,531,4553,3684,1360,2318,1364,670,105,144,2655,148,110,119,134,107,2025,891,1058,1485,2792,3002,892,3686,1707,1926,2492,7063,2112,2375,2198,928,863,3009,5948,2171,3500,1461,2038,1423,2047,2731,2965,1362,9733,8379,6910,4005,821,1329,813,1443,2089,970,10731,1349,1067,1053,2620,1536,898,2996,2519,4231,4396,1031,4559,1121,1190,2103,1657,587,1442,4338,993,688,591,853,4618,2255,2864,3476,5640,1371,2916,2763,404,41854,41,33,31,23,12,16,12,30,97,85,80,114,3,5
Bacteria,Aquificae,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Armatimonadetes,4,4,4,0,5,6,20,516,83,13,51,15,15,3,9,8,135,9,170,3,12,4,36,39,33,12,36,79,18,2,14,9,12,12,163,5,4,2,3,8,18,13,4,15,34,12,19,213,6,20,82,60,5,12,16,36,13,63,9,10,21,21,6,0,10,4,37,4,19,66,22,7,15,2,24,18,13,6,38,31,4,26,9,22,33,55,3,2,2,1,0,0,2,0,2,7,16,127,276,22,78,4,10,14,21,26,16,7,6,44,8,3,3,22,5,2,6,12,20,13,71,7,19,24,10,13,14,2,11,26,44,114,14,1,123,8,12,23,9,19,8,18,25,37,14,15,10,12,53,14,14,10,8,4,14,8,289,12,4,21,6,11,0,10,8,3,20,0,2,0,3,2,0,1,0,9,1,1,0,0,0
Bacteria,Bacteroidetes,2007,1868,10739,9801,7038,10083,4602,3273,37016,12701,12759,2966,2250,2082,18126,9120,2766,4189,3381,3779,7194,3565,4683,3644,4393,8422,7713,7479,5663,2249,6148,7095,20505,5361,11974,4373,2569,5934,2357,4339,5673,3007,3418,8782,10328,2440,2936,6385,10771,5969,3740,4893,4359,15666,4866,14317,4979,3071,5214,8670,6287,5803,7338,5242,2056,2495,4003,5346,4824,2606,17633,3862,5274,2427,5323,4027,5647,4582,8811,4919,2042,2697,10592,5592,4217,5773,23172,614,608,4235,663,526,554,678,617,3920,4955,8793,10290,3075,9342,1337,2666,3652,6838,5082,5812,6169,5304,4322,12606,6889,5024,3968,3164,3875,4943,5375,9008,4371,4914,4681,18704,8313,6175,6383,6518,1928,3527,5157,8267,6649,37078,2619,8253,5385,11733,8522,5303,10056,7933,2747,6904,3402,2007,3169,9645,4849,3025,3853,10878,17805,3396,7831,4081,16085,1669,4570,1840,7195,7169,3575,13658,3018,15134,1903,881,77,44,47,61,60,21,55,76,222,190,210,295,9,5
Bacteria,Balneolaeota,0,0,0,0,0,0,0,1,0,0,0,2,104,7,0,0,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Caldiserica,0,16,1,7,15,0,24,303,96,12,258,3,1,6,10,5,0,1,0,0,10,4,9,5,1,0,36,3,5,3,2,16,3,19,186,14,0,12,8,8,16,34,4,11,2,1,9,837,7,76,187,17,7,18,19,3,17,2431,8,1,10,0,10,0,24,4,0,0,167,69,41,11,19,1,172,16,4,9,22,35,3,82,5,13,8,10,0,0,0,6,1,1,0,0,0,0,1,51,776,2,3,2,1,0,0,12,8,19,1,4,2,14,1,1,6,4,2,4,1,8,4,5,4,7,11,17,1,3,21,6,5,12,42,3,19,1,3,3,0,4,3,23,8,33,2,14,7,18,3,19,23,7,41,24,11,0,24,1,4,16,2,1,0,2,2,4,4,0,0,0,0,0,3,0,0,2,13,0,2,0,0
Bacteria,Calditrichaeota,2,0,0,3,1,1,0,17,7,1,18,0,0,0,0,0,7,0,3,0,0,0,0,0,0,1,0,2,0,1,0,0,0,4,4,0,3,0,8,0,0,1,0,2,0,0,7,1,0,0,2,20,1,0,0,0,1,16,1,0,1,0,0,0,0,0,1,0,5,21,7,2,4,0,1,2,0,0,28,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,1,0,0,1,4,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,8,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chlamydiae,44,29,6,8,31,15,95,239,52,44,791,13,4,34,21,11,181,23,90,49,45,6,18,71,53,18,173,9,18,20,17,40,98,66,824,51,32,15,17,31,59,88,11,45,52,5,47,44,14,97,468,223,12,93,38,106,6,112,12,25,30,33,50,15,47,53,231,26,204,335,79,43,46,30,329,19,20,64,20,60,17,102,40,38,42,8,8,13,5,13,9,5,10,6,7,39,9,87,1551,22,45,17,28,62,16,77,32,25,15,20,23,58,9,122,12,22,5,13,37,37,19,24,78,40,44,46,85,20,33,40,20,230,49,27,109,27,26,39,27,42,20,43,36,88,103,34,37,25,59,21,73,16,101,38,89,11,1611,71,46,47,37,55,8,92,100,5,36,0,0,0,1,2,0,2,0,24,1,4,3,0,0
Bacteria,Chlorobi,0,0,0,0,2,1,7,19,4,3,1,2,0,0,21,9,2,0,1,1,0,0,2,0,0,2,0,0,3,0,0,1,2,5,11,3,1,0,1,1,0,1,0,1,0,0,1,0,1,6,15,3,5,0,0,0,0,11,0,2,0,2,0,0,0,0,0,2,3,11,5,2,2,3,0,0,0,0,10,1,0,1,2,0,1,0,8,0,2,5,0,0,0,0,0,0,4,1,28,0,4,0,4,1,1,0,0,0,0,1,0,5,0,5,2,0,0,2,2,0,0,1,447,2,4,1,2,1,0,1,1,22,2,0,17,33,4,0,0,0,2,1,2,1,2,0,3,1,1,0,2,1,5,0,0,2,2,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexi,177,64,25,74,228,98,797,2416,830,220,1470,109,54,55,357,192,262,112,747,173,149,98,717,516,188,108,821,60,177,52,84,117,509,427,2595,294,194,114,88,107,598,1017,152,106,97,48,675,521,60,718,1187,761,284,459,328,516,287,2921,109,96,904,135,192,23,542,91,431,87,848,1884,332,188,318,89,391,119,81,130,4018,252,26,541,139,185,374,445,69,31,27,137,33,31,32,31,32,125,59,1457,1759,122,645,47,141,222,72,436,160,94,146,149,130,139,37,588,71,112,100,153,153,177,218,124,141,487,409,170,49,100,241,313,151,776,735,101,885,172,84,267,242,247,116,381,171,206,1377,271,137,126,497,86,168,120,221,78,218,131,3287,89,147,235,73,153,37,290,128,14,383,0,4,0,0,10,3,5,0,62,17,17,17,0,0
Bacteria,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Cyanobacteria,17,84,44,41,96,13,46,95,188,122,160,94,78,60,142,92,1419,43,705,34,26,16,27,29,20,33,215,21,18,19,13,14,141,19,28,10,20,18,17,21,13,23,26,22,41,5,72,15,5,187,212,15,20,83,35,143,2,154,30,62,24,11,26,38,33,51,54,63,83,16,179,31,18,12,60,22,39,53,81,27,6,88,17,28,13,56,61,4,4,12,6,4,4,5,9,12,44,41,91,7,25,6,9,25,9,30,20,46,160,15,15,5,2,92,14,31,14,8,11,8,10,38,26,150,137,29,47,23,45,65,19,41,99,34,87,12,7,34,60,109,15,32,84,38,42,108,19,24,23,26,42,171,22,30,58,7,15,311,27,21,5,12,7,108,49,3,842,1,0,0,0,0,0,1,1,8,3,7,4,0,0
Bacteria,Deferribacteres,0,3,0,0,3,0,1,3,5,1,1,0,0,0,2,0,0,3,0,0,2,0,0,0,2,0,10,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,11,0,0,9,5,2,0,20,0,0,0,5,0,0,0,0,1,0,1,3,0,2,0,0,3,0,0,0,3,0,0,4,0,3,0,1,0,0,0,1,3,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,3,1,1,0,0,1,1,0,0,0,1,1,0,0,2,1,2,2,3,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,2,0,0,6,4,0,0,1,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Elusimicrobia,7,1,23,16,22,0,6,35,180,34,73,4,5,1,34,22,3,2,11,5,11,17,2,3,2,4,19,44,2,2,7,11,27,3,9,1,6,4,1,2,12,0,2,2,3,0,2,1,2,38,7,9,6,0,4,4,0,32,5,6,8,12,8,7,1,5,43,33,9,14,72,9,6,3,2,4,1,11,64,9,5,1,4,3,1,13,23,1,1,6,0,3,0,0,1,3,6,15,78,2,15,0,0,7,1,11,1,22,2,6,0,1,2,42,6,12,5,2,3,7,1,4,11,26,41,4,6,1,8,16,5,38,79,1,55,3,0,2,10,47,0,3,42,12,0,3,5,19,5,5,8,50,9,13,5,4,2,12,1,0,1,1,0,20,5,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Bacteria,Fibrobacteres,17,3,29,25,34,15,23,12,78,121,21,6,2,2,67,42,7,26,36,28,37,6,15,16,20,37,13,33,26,11,24,22,89,16,22,9,24,7,13,3,7,10,29,11,52,4,22,8,7,39,9,29,14,8,39,72,0,59,19,50,24,34,8,33,6,14,22,86,57,6,117,21,45,11,7,22,35,22,343,45,1,10,11,10,29,220,296,5,2,23,3,7,3,2,2,28,28,49,61,15,22,3,11,32,12,24,16,119,7,31,16,10,6,74,25,22,54,34,94,10,20,8,23,117,39,33,15,10,31,48,15,76,50,13,14,15,24,20,74,306,8,8,157,26,6,10,30,30,31,35,20,218,24,21,8,7,29,30,13,23,4,6,2,36,1,1,8,0,0,0,0,1,0,0,0,2,0,3,1,0,0
Bacteria,Firmicutes,18916,1154,19748,15751,32392,17811,11414,6853,28269,19852,9729,3134,1918,3518,18226,36822,854,33640,1118,28013,36844,15542,9350,21919,43786,36102,20000,22843,20695,26992,22921,20845,4349,22626,6749,35831,31149,19093,24520,34673,27148,20732,42093,16983,22794,8266,28627,10464,8972,18397,21808,48444,42183,18701,16678,4670,2394,9101,59645,41028,31158,17610,23603,13833,5702,20427,953,16832,31493,12303,40501,27971,25440,15737,11526,14385,46502,29415,17573,7919,3496,15566,16309,14907,21361,8274,17405,5819,2976,38429,4609,4643,3134,3934,4390,14814,13310,19715,9856,21261,27131,3250,31110,13881,12959,25850,56126,16233,15741,21412,9824,10663,29788,36842,27077,24182,15137,20312,10851,17852,16389,27740,27189,41018,51731,44076,9054,8166,14352,13364,15315,16550,22993,56048,5113,24774,9159,42867,24559,13321,13387,32520,54055,8138,11817,24157,16364,24438,17848,22594,24002,29283,27616,10125,14279,4317,8507,2211,12236,19018,21599,22985,3152,27940,48393,2684,8406,188,138,241,176,105,115,127,176,513,446,607,598,10,11
Bacteria,Fusobacteria,96,207,149,1432,5044,1772,1211,46,69,1315,95,113,76,54,86,78,48,1632,89,291,891,906,1170,3278,3090,8735,114,855,1583,4920,1932,331,328,3684,748,4069,2898,3336,11629,6383,8843,3012,547,1038,5281,3800,537,81,1106,769,284,137,221,513,1308,241,187,274,287,1859,521,905,2315,1168,218,419,97,1056,229,162,854,146,327,774,172,3861,699,807,610,260,150,267,5741,1602,2166,592,2195,109,168,3079,379,114,134,195,117,3218,3096,94,81,3747,960,383,3141,1029,2303,2016,3796,1427,2116,1501,3549,2521,2375,1309,3786,2352,2066,3508,1262,3001,3797,2879,7959,513,581,626,115,376,647,1295,2057,883,2371,1491,207,2493,1070,2740,1213,3457,1008,4379,4235,145,172,1124,964,1347,897,2434,246,808,432,342,181,195,520,106,958,404,6353,12790,146,1988,235,234,43,9,6,21,29,11,15,10,10,45,45,42,15,0,1
Bacteria,Gemmatimonadetes,4,46,56,38,31,17,2,5,23,15,12,13,70,16,7,3,222,23,167,17,23,45,48,13,10,39,8,7,26,61,13,8,111,97,9,91,71,7,15,14,19,8,66,33,12,26,44,6,59,29,4,178,442,45,35,62,6,25,12,54,68,52,30,5,7,11,31,16,15,18,17,17,25,5,8,9,15,5,35,6,6,6,13,20,13,24,0,3,5,147,0,1,2,2,0,18,15,6,22,12,40,3,34,12,23,53,72,11,28,9,9,25,39,6,55,33,62,19,30,14,19,61,7,66,46,28,3,5,7,26,34,49,46,12,100,70,15,48,8,22,54,74,40,20,6,41,24,14,8,33,11,35,19,15,5,13,6,17,6,33,44,14,6,4,3,2,31,0,0,0,0,0,0,0,0,0,1,1,3,0,0
Bacteria,Ignavibacteriae,23,32,3,2,8,15,73,445,3875,48,135,61,256,26,41,5,60,4,143,5,25,3,110,14,14,13,88,16,14,7,6,18,423,40,159,6,19,10,16,14,19,18,6,7,10,3,16,44,18,17,19,37,8,98,55,14,4,646,27,11,17,9,17,12,10,27,19,8,97,108,68,31,14,11,50,25,6,60,251,40,7,54,38,12,36,153,28,3,2,6,10,2,4,4,4,4,6,165,696,22,50,245,4,17,20,33,26,32,24,34,32,5,11,13,12,2,8,26,33,31,14,9,25,18,7,24,13,1,34,61,18,317,147,4,202,11,23,14,26,85,12,24,20,97,12,21,11,15,11,11,44,47,48,21,6,8,34,26,47,25,10,11,3,18,10,3,23,0,0,0,0,0,0,1,2,1,2,1,9,0,0
Bacteria,Kiritimatiellaeota,31,14,35,38,53,21,83,798,366,187,2183,239,182,51,76,32,118,14,145,19,52,22,118,62,136,36,408,32,64,16,24,52,81,202,787,40,42,17,4,75,250,120,58,39,76,35,56,695,29,319,595,113,123,217,120,26,18,641,36,37,356,83,64,22,75,39,81,139,202,408,158,88,76,44,52,35,18,51,99,99,8,149,131,64,88,52,50,12,26,57,15,14,16,9,39,38,63,759,1025,14,160,8,87,101,27,202,70,41,31,58,33,39,11,880,33,51,12,40,46,22,16,25,64,155,241,84,22,28,182,82,42,165,369,31,252,63,25,122,100,68,52,145,88,1285,80,45,69,87,685,50,130,54,91,23,341,29,750,16,52,69,32,37,14,374,33,8,10,1,0,1,1,3,3,2,2,12,6,6,6,0,0
Bacteria,Lentisphaerae,0,1,51,39,23,3,18,31,66,121,198,4,2,3,10,42,3,3,5,3,3,29,6,6,21,11,50,19,10,1,4,19,15,6,22,3,2,2,3,5,14,8,5,6,41,5,3,89,4,38,33,20,6,14,4,17,1,43,6,17,9,6,11,12,3,7,3,30,20,9,82,6,13,1,1,6,12,6,32,17,0,7,4,10,5,6,45,2,4,5,2,4,9,1,1,7,5,37,126,2,4,3,4,9,5,24,7,24,3,5,8,6,5,46,3,12,2,21,14,14,3,5,15,18,52,17,14,0,8,4,1,10,144,5,3,4,16,8,19,17,2,2,42,53,12,3,27,30,32,3,6,78,5,23,28,3,16,3,8,0,6,5,0,111,3,1,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Bacteria,Nitrospinae,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Nitrospirae,0,1,2,10,15,4,0,5,14,21,42,5,0,3,3,2,19,4,29,5,8,4,6,3,11,6,36,5,3,1,4,6,36,0,5,4,3,9,9,10,9,14,0,13,7,3,5,4,62,16,14,4,3,25,4,29,42,118,2,9,33,40,6,16,5,37,101,3,6,15,5,1,4,3,3,11,8,7,191,11,2,12,5,3,3,16,42,2,0,5,1,0,0,0,2,4,3,11,18,5,2,0,4,7,8,4,6,3,18,2,3,8,2,5,11,7,4,1,6,3,3,6,15,18,8,3,1,1,32,33,17,50,20,9,67,9,3,6,9,32,3,4,9,7,6,1,19,3,2,8,44,7,0,7,2,3,0,2,1,3,11,17,15,5,3,2,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Bacteria,Planctomycetes,114,135,3,8,36,21,38,332,87,56,259,8,36,297,49,13,678,44,1620,84,23,16,148,48,58,51,122,115,48,26,36,28,360,74,329,66,59,39,45,68,77,41,46,41,69,18,74,239,30,156,106,87,109,133,75,268,2,303,23,46,37,34,68,9,45,17,225,13,103,465,66,24,38,23,116,55,13,43,378,57,7,59,54,60,75,100,14,0,1,29,6,5,7,6,11,48,24,185,352,37,74,4,57,51,39,125,47,66,33,62,16,28,9,113,20,15,29,37,68,41,148,31,166,182,107,86,27,23,71,75,104,657,84,49,602,30,21,56,33,140,40,154,48,60,33,141,69,62,232,29,54,80,56,13,35,6,471,39,77,36,56,63,8,61,64,8,718,2,2,1,0,1,1,0,0,13,6,7,3,0,0
Bacteria,Proteobacteria,30105,17586,18697,19908,25010,26898,18960,3043,16947,48129,6679,54137,35119,21961,23418,9659,20514,14890,11543,10340,33112,34893,11462,21141,24236,24380,23231,58913,34435,49329,30712,29961,39995,21621,15154,30366,23944,55960,19395,32038,27317,24582,17088,50548,32401,60198,20674,43179,38898,14893,26671,14049,25582,49684,30219,35751,112293,15868,21932,14488,11978,24224,23242,17947,98442,80748,10535,20684,9633,11839,28949,8311,12852,33743,40453,26356,30703,34133,15853,69288,65198,53956,43323,16230,44022,13298,86374,79398,50440,43981,92456,88170,50467,51540,63306,24021,32792,4417,13372,15330,44363,78968,35459,22962,24661,24803,21131,23989,33812,31364,52495,30704,14344,15478,20175,19973,33779,22675,23269,35018,30630,41337,33802,24811,26815,25848,13110,159708,93015,38316,33070,29409,18280,22143,22354,28572,48167,27854,17385,20075,46338,68401,29162,58043,165446,43288,33803,43200,14276,20439,37444,25747,26641,87557,26356,73317,3452,17627,38793,124980,38009,35970,36705,19547,123114,68932,5050,213,234,335,359,171,160,87,241,799,712,667,1121,21,14
Bacteria,Rhodothermaeota,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
