sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material
ERS1572689,Black Water Project,SAMEA100930918,Black Water,,,Netherlands,,,
ERS1572690,Black Water Project,SAMEA100931668,Black Water,,,Netherlands,,,
ERS1572691,Black Water Project,SAMEA100932418,Black Water,,,Netherlands,,,
ERS1572692,Black Water Project,SAMEA100933168,Black Water,,,Netherlands,,,
ERS1572693,Black Water Project,SAMEA100933918,Black Water,,,Netherlands,,,
ERS1572694,Black Water Project,SAMEA100934668,Black Water,,,Netherlands,,,
ERS1572695,Black Water Project,SAMEA100935418,Black Water,,,Netherlands,,,
ERS1572696,Black Water Project,SAMEA100936168,Black Water,,,Netherlands,,,
ERS1572697,Black Water Project,SAMEA100936918,Black Water,,,Netherlands,,,
ERS1572698,Black Water Project,SAMEA100937668,Sludge UASB,,,Netherlands,,,
ERS1572699,Black Water Project,SAMEA100938418,Sludge UASB,,,Netherlands,,,
ERS1572700,Black Water Project,SAMEA100939168,Sludge UASB,,,Netherlands,,,
ERS1572701,Black Water Project,SAMEA100939918,Sludge UASB,,,Netherlands,,,
ERS1572702,Black Water Project,SAMEA100940668,Sludge UASB,,,Netherlands,,,
ERS1572703,Black Water Project,SAMEA100941418,Sludge UASB,,,Netherlands,,,
ERS1572704,Black Water Project,SAMEA100942168,Sludge UASB,,,Netherlands,,,
ERS1572705,Black Water Project,SAMEA100942918,Sludge UASB,,,Netherlands,,,
ERS1572706,Black Water Project,SAMEA100943668,Sludge UASB,,,Netherlands,,,
ERS1572707,Black Water Project,SAMEA100944418,Effluent UASB,,,Netherlands,,,
ERS1572708,Black Water Project,SAMEA100945168,Effluent UASB,,,Netherlands,,,
ERS1572709,Black Water Project,SAMEA100945918,Effluent UASB,,,Netherlands,,,
ERS1572710,Black Water Project,SAMEA100946668,Effluent UASB,,,Netherlands,,,
ERS1572711,Black Water Project,SAMEA100947418,Effluent UASB,,,Netherlands,,,
ERS1572712,Black Water Project,SAMEA100948168,Effluent UASB,,,Netherlands,,,
ERS1572713,Black Water Project,SAMEA100948918,Effluent UASB,,,Netherlands,,,
ERS1572714,Black Water Project,SAMEA100949668,Effluent UASB,,,Netherlands,,,
ERS1572715,Black Water Project,SAMEA100950418,Effluent UASB,,,Netherlands,,,
ERS1572716,Black Water Project,SAMEA100951168,Effluent PBR,,,Netherlands,,,
ERS1572717,Black Water Project,SAMEA100951918,Effluent PBR,,,Netherlands,,,
ERS1572718,Black Water Project,SAMEA100952668,Effluent PBR,,,Netherlands,,,
ERS1572719,Black Water Project,SAMEA100953418,Effluent PBR,,,Netherlands,,,
ERS1572720,Black Water Project,SAMEA100954168,Effluent PBR,,,Netherlands,,,
ERS1572721,Black Water Project,SAMEA100954918,Effluent PBR,,,Netherlands,,,
ERS1572722,Black Water Project,SAMEA100955668,Effluent PBR,,,Netherlands,,,
ERS1572723,Black Water Project,SAMEA100956418,Effluent PBR,,,Netherlands,,,
ERS1572724,Black Water Project,SAMEA100957168,Effluent PBR,,,Netherlands,,,
